"","Obs.dist","Obs.Site","Rep.ID"
"1",2,"FS.4","200710A"
"2",2,"AB.12","200711A"
"3",20,"PS.1","200711B"
"4",1,"LS.11","200711B"
"5",15,"PS.1","200711A"
"6",10,"UG.8","200711A"
"7",1,"PS.2","200712A"
"8",15,"PS.2","200712B"
"9",0,"LG.5","200712A"
"10",NA,"PS.2","200801A"
"11",0,"AB.3","200801B"
"12",2,"AB.3","200801B"
"13",7,"FS.3","200801B"
"14",15,"LS.5","200801B"
"15",15,"AB.4","200802A"
"16",15,"LS.11","200802A"
"17",2,"PS.1","200802A"
"18",0,"PS.2","200802B"
"19",7,"PS.1","200802B"
"20",20,"LS.5","200802B"
"21",5,"AB.12","200802B"
"22",10,"PS.2","200803B"
"23",25,"PS.2","200803B"
"24",35,"LS.11","200803B"
"25",15,"PS.1","200803B"
"26",20,"PS.1","200804A"
"27",2,"PS.1","200804B"
"28",10,"PS.2","200804A"
"29",1,"AB.11","200804B"
"30",35,"PS.2","200809A"
"31",10,"PS.1","200809B"
"32",30,"AB.12","200809B"
"33",15,"PS.2","200810A"
"34",20,"PS.2","200810A"
"35",40,"PS.1","200810A"
"36",15,"LG.5","200810A"
"37",30,"UG.8","200810A"
"38",10,"PS.1","200810B"
"39",2,"PS.1","200810B"
"40",18,"PS.1","200810B"
"41",0,"PS.2","200810B"
"42",10,"PS.1","200805A"
"43",15,"PS.1","200805A"
"44",30,"PS.1","200805B"
"45",20,"PS.1","200805B"
"46",15,"PS.2","200805A"
"47",15,"PS.2","200805B"
"48",10,"PS.2","200805B"
"49",20,"UG.7","200805A"
"50",5,"PS.2","200806A"
"51",30,"PS.2","200806A"
"52",10,"AB.3","200806A"
"53",40,"PS.1","200806A"
"54",10,"PS.1","200806A"
"55",20,"FS.4","200806B"
"56",20,"PS.1","200806B"
"57",20,"PS.2","200807A"
"58",NA,"LS.11","200808A"
"59",5,"PS.1","200812A"
"60",20,"AB.3","200901A"
"61",12,"PS.2","200901B"
"62",18,"PS.2","200901B"
"63",25,"LG.5","200902B"
"64",12,"FS.4","200902B"
"65",20,"FS.3","200902B"
"66",5,"PS.2","200902A"
"67",0,"PS.1","200902A"
"68",15,"PS.2","200903A"
"69",13,"PS.1","200903B"
"70",10,"PS.1","200903B"
"71",20,"PS.2","200903B"
"72",20,"FS.4","200903B"
"73",20,"MO.9","200903B"
"74",20,"LS.12","200903B"
"75",15,"PS.1","200904A"
"76",12,"FS.4","200904A"
"77",8,"FS.4","200904B"
"78",10,"MO.9","200904B"
"79",NA,"LS.5","200904B"
"80",2,"LG.5","200905A"
"81",1,"LS.11","200905A"
"82",2,"PS.2","200905B"
"83",10,"PS.2","200905B"
"84",5,"PS.2","200905B"
"85",10,"PS.2","200905B"
"86",20,"PS.2","200905B"
"87",15,"AB.3","200906A"
"88",30,"UG.7","200906A"
"89",10,"PS.1","200906A"
"90",15,"PS.2","200906A"
"91",30,"UG.7","200906B"
"92",15,"MO.10","200906A"
"93",7,"FS.3","200907A"
"94",15,"UG.8","200907A"
"95",15,"LS.12","200907A"
"96",20,"PS.2","200907B"
"97",7,"PS.2","200907B"
"98",NA,"PS.1","200908A"
"99",30,"PS.2","200908A"
"100",12,"AB.3","200908A"
"101",6,"AB.4","200908A"
"102",15,"LS.11","200908A"
"103",15,"PS.2","200908B"
"104",7,"LG.5","200908B"
"105",5,"LS.6","200908B"
"106",15,"UG.7","200909A"
"107",7,"LS.5","200909A"
"108",15,"PS.2","200909B"
"109",10,"PS.2","200909B"
"110",15,"PS.1","200910B"
"111",20,"PS.1","200910B"
"112",10,"PS.1","200910B"
"113",2,"PS.2","200910B"
"114",8,"PS.2","200910B"
"115",30,"FS.4","200910B"
"116",10,"AB.4","200910B"
"117",1,"PS.2","200911A"
"118",8,"PS.2","200911A"
"119",20,"LS.6","200911A"
"120",10,"LS.11","200911A"
"121",10,"PS.1","200911B"
"122",20,"PS.2","200911B"
"123",10,"LS.6","200911B"
"124",30,"LG.5","200912A"
"125",10,"LG.5","200912A"
"126",NA,"PS.2","200912A"
"127",10,"PS.2","200912A"
"128",15,"AB.3","200912A"
"129",30,"AB.4","200912A"
"130",20,"FS.4","200912A"
"131",12,"LS.6","200912A"
"132",20,"LG.6","200912A"
"133",6,"AB.4","200912B"
"134",25,"AB.3","200912B"
"135",5,"LG.6","200912B"
"136",30,"LG.6","200912B"
"137",4,"LS.11","200912B"
"138",20,"LS.5","201001A"
"139",10,"UG.7","201001A"
"140",15,"FS.4","201001A"
"141",10,"FS.4","201001A"
"142",15,"FS.4","201001A"
