"","200710A","200710B","200711A","200711B","200712A","200712B","200801A","200801B","200802A","200802B","200803A","200803B","200804A","200804B","200805A","200805B","200806A","200806B","200807A","200807B","200808A","200808B","200809A","200809B","200810A","200810B","200811A","200811B","200812A","200812B","200901A","200901B","200902A","200902B","200903A","200903B","200904A","200904B","200905A","200905B","200906A","200906B","200907A","200907B","200908A","200908B","200909A","200909B","200910A","200910B","200911A","200911B","200912A","200912B","201001A","201001B","201002A","201002B","201003A","201003B","201004A","201004B","201005A","201005B","201006A","201006B","201007A","201007B","201008A","201008B","201009A","201009B","201010A","201010B","201011A","201011B","201012A","201012B","201101A","201101B","201102A","201102B","201103A","201103B","201104A","201104B","201105A","201105B","201106A","201106B","201107A","201107B","201108A","201108B","201109A","201109B","201110A","201110B","201111A","201111B","201112A","201112B","201201A","201201B","201202A","201202B","201203A","201203B","201204A","201204B","201205A","201205B","201206A","201206B","201207A","201207B","201208A","201208B","201209A","201209B","201210A","201210B","201211A","201211B","201212A","201212B","201301A","201301B","201302A","201302B","201303A","201303B","201304A","201304B","201305A","201305B","201306A","201306B","201307A","201307B","201308A","201308B","201309A","201309B","201310A","201310B","201311A","201311B","201312A","201312B","201401A","201401B","201402A","201402B","201403A","201403B","201404A","201404B","201405A","201405B","201406A","201406B","201407A","201407B","201408A","201408B","201409A","201409B","201410A","201410B","201411A","201411B","201412A","201412B","201501A","201501B","201502A","201502B","201503A","201503B","201504A","201504B","201505A","201505B","201506A","201506B","201507A","201507B","201508A","201508B","201509A","201509B","201510A","201510B","201511A","201511B","201512A","201512B"
"AB.11",NA,NA,21.5,21.5,21.5,21.5,20.5,20.5,21.5,21.5,20,20,21,21,20,20,19.5,19.5,20.5,20.5,20.5,20.5,21,21,20,20,20,20,20,20,20.5,20.5,20.5,20.5,20.5,20.5,20.2,20.2,20.5,20.5,20.5,20.5,20,20,20.5,20.5,20,20,21,21,20,20,20.5,20.5,21,21,21,21,19.5,19.5,22,22,21.5,21.5,21,21,20,20,21,21,20.5,20.5,21,21,21,21,20,20,20,20,21,21,21,21,20.5,20.5,21,21,21,21,19.5,19.5,19.5,19.5,20.5,20.5,20,20,20,20,20,20,20,20,20,20,21,21,20.5,20.5,21.5,21.5,20,20,20.5,20.5,20.5,20.5,20.5,20.5,19,19,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,20.5,20.5,21,21,21.5,21.5,20.5,20.5,20,20,20,20,19.5,19.5,21,21,21,21,21,21,21,21,20.5,20.5,21.5,21.5,20,20,21,21,21,21,21,21,20,20,19.5,19.5,21,21,21,21,21,21,19.5,19.5,19.5,19.5,20.5,20.5,21,21,21,21,21,21,20,20,18.5,18.5,20,20,20,20,20,20,19.5,19.5
"AB.12",22.5,22.5,22,22,21.5,21.5,23,23,23,23,22,22,22.5,22.5,22.5,22.5,21.5,21.5,NA,NA,22.5,22.5,22.5,22.5,21.5,21.5,22,22,21.5,21.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22,22,22.5,22.5,21,21,21.5,21.5,22.5,22.5,23,23,21.5,21.5,22,22,22.5,22.5,23.5,23.5,22,22,19,19,23,23,22.5,22.5,22,22,21.5,21.5,21.5,21.5,22.5,22.5,Inf,Inf,23.5,23.5,19.5,19.5,20.5,20.5,24.5,24.5,24.5,24.5,25.5,25.5,22.5,22.5,NA,NA,NA,NA,20.5,20.5,20.5,20.5,25.5,25.5,24.5,24.5,22,22,21.5,21.5,21.5,21.5,24.5,24.5,21.5,21.5,23,23,22,22,21.5,21.5,20,20,20.5,20.5,20.5,20.5,20.5,20.5,21,21,20,20,21.5,21.5,20.5,20.5,21.5,21.5,20,20,19,19,19,19,15.5,15.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21,21,19.5,19.5,20,20,20.5,20.5,18.5,18.5,20,20,19.5,19.5,20.5,20.5,21,21,20,20,20,20,20,20,20,20,20.5,20.5,20.5,20.5,20,20,19.5,19.5,18.5,18.5,19.5,19.5,19.5,19.5,20,20,19,19
"AB.3",NA,NA,21.5,21.5,21.5,21.5,20.5,20.5,21.5,21.5,20,20,21,21,20,20,19.5,19.5,20.5,20.5,20.5,20.5,21,21,20,20,20,20,20,20,20.5,20.5,20.5,20.5,20.5,20.5,20.2,20.2,20.5,20.5,20.5,20.5,20,20,20.5,20.5,20,20,21,21,20,20,20.5,20.5,21,21,21,21,19.5,19.5,22,22,21.5,21.5,21,21,20,20,21,21,20.5,20.5,21,21,21,21,20,20,20,20,21,21,21,21,20.5,20.5,21,21,21,21,19.5,19.5,19.5,19.5,20.5,20.5,20,20,20,20,20,20,20,20,20,20,21,21,20.5,20.5,21.5,21.5,20,20,20.5,20.5,20.5,20.5,20.5,20.5,19,19,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,20.5,20.5,21,21,21.5,21.5,20.5,20.5,20,20,20,20,19.5,19.5,21,21,21,21,21,21,21,21,20.5,20.5,21.5,21.5,20,20,21,21,21,21,21,21,20,20,19.5,19.5,21,21,21,21,21,21,19.5,19.5,19.5,19.5,20.5,20.5,21,21,21,21,21,21,20,20,18.5,18.5,20,20,20,20,20,20,19.5,19.5
"AB.4",22.5,22.5,22,22,21.5,21.5,23,23,23,23,22,22,22.5,22.5,22.5,22.5,21.5,21.5,NA,NA,22.5,22.5,22.5,22.5,21.5,21.5,22,22,21.5,21.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22,22,22.5,22.5,21,21,21.5,21.5,22.5,22.5,23,23,21.5,21.5,22,22,22.5,22.5,23.5,23.5,22,22,19,19,23,23,22.5,22.5,22,22,21.5,21.5,21.5,21.5,22.5,22.5,Inf,Inf,23.5,23.5,19.5,19.5,20.5,20.5,24.5,24.5,24.5,24.5,25.5,25.5,22.5,22.5,NA,NA,NA,NA,20.5,20.5,20.5,20.5,25.5,25.5,24.5,24.5,22,22,21.5,21.5,21.5,21.5,24.5,24.5,21.5,21.5,23,23,22,22,21.5,21.5,20,20,20.5,20.5,20.5,20.5,20.5,20.5,21,21,20,20,21.5,21.5,20.5,20.5,21.5,21.5,20,20,19,19,19,19,15.5,15.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21,21,19.5,19.5,20,20,20.5,20.5,18.5,18.5,20,20,19.5,19.5,20.5,20.5,21,21,20,20,20,20,20,20,20,20,20.5,20.5,20.5,20.5,20,20,19.5,19.5,18.5,18.5,19.5,19.5,19.5,19.5,20,20,19,19
"FS.11",22.5,22.5,22,22,21.5,21.5,23,23,23,23,22,22,22.5,22.5,22.5,22.5,21.5,21.5,NA,NA,22.5,22.5,22.5,22.5,21.5,21.5,22,22,21.5,21.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22,22,22.5,22.5,21,21,21.5,21.5,22.5,22.5,23,23,21.5,21.5,22,22,22.5,22.5,23.5,23.5,22,22,19,19,23,23,22.5,22.5,22,22,21.5,21.5,21.5,21.5,22.5,22.5,Inf,Inf,23.5,23.5,19.5,19.5,20.5,20.5,24.5,24.5,24.5,24.5,25.5,25.5,22.5,22.5,NA,NA,NA,NA,20.5,20.5,20.5,20.5,25.5,25.5,24.5,24.5,22,22,21.5,21.5,21.5,21.5,24.5,24.5,21.5,21.5,23,23,22,22,21.5,21.5,20,20,20.5,20.5,20.5,20.5,20.5,20.5,21,21,20,20,21.5,21.5,20.5,20.5,21.5,21.5,20,20,19,19,19,19,15.5,15.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21,21,19.5,19.5,20,20,20.5,20.5,18.5,18.5,20,20,19.5,19.5,20.5,20.5,21,21,20,20,20,20,20,20,20,20,20.5,20.5,20.5,20.5,20,20,19.5,19.5,18.5,18.5,19.5,19.5,19.5,19.5,20,20,19,19
"FS.3",22.5,22.5,22,22,21.5,21.5,23,23,23,23,22,22,22.5,22.5,22.5,22.5,21.5,21.5,NA,NA,22.5,22.5,22.5,22.5,21.5,21.5,22,22,21.5,21.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22,22,22.5,22.5,21,21,21.5,21.5,22.5,22.5,23,23,21.5,21.5,22,22,22.5,22.5,23.5,23.5,22,22,19,19,23,23,22.5,22.5,22,22,21.5,21.5,21.5,21.5,22.5,22.5,Inf,Inf,23.5,23.5,19.5,19.5,20.5,20.5,24.5,24.5,24.5,24.5,25.5,25.5,22.5,22.5,NA,NA,NA,NA,20.5,20.5,20.5,20.5,25.5,25.5,24.5,24.5,22,22,21.5,21.5,21.5,21.5,24.5,24.5,21.5,21.5,23,23,22,22,21.5,21.5,20,20,20.5,20.5,20.5,20.5,20.5,20.5,21,21,20,20,21.5,21.5,20.5,20.5,21.5,21.5,20,20,19,19,19,19,15.5,15.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21,21,19.5,19.5,20,20,20.5,20.5,18.5,18.5,20,20,19.5,19.5,20.5,20.5,21,21,20,20,20,20,20,20,20,20,20.5,20.5,20.5,20.5,20,20,19.5,19.5,18.5,18.5,19.5,19.5,19.5,19.5,20,20,19,19
"FS.4",22.5,22.5,22,22,21.5,21.5,23,23,23,23,22,22,22.5,22.5,22.5,22.5,21.5,21.5,NA,NA,22.5,22.5,22.5,22.5,21.5,21.5,22,22,21.5,21.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22,22,22.5,22.5,21,21,21.5,21.5,22.5,22.5,23,23,21.5,21.5,22,22,22.5,22.5,23.5,23.5,22,22,19,19,23,23,22.5,22.5,22,22,21.5,21.5,21.5,21.5,22.5,22.5,Inf,Inf,23.5,23.5,19.5,19.5,20.5,20.5,24.5,24.5,24.5,24.5,25.5,25.5,22.5,22.5,NA,NA,NA,NA,20.5,20.5,20.5,20.5,25.5,25.5,24.5,24.5,22,22,21.5,21.5,21.5,21.5,24.5,24.5,21.5,21.5,23,23,22,22,21.5,21.5,20,20,20.5,20.5,20.5,20.5,20.5,20.5,21,21,20,20,21.5,21.5,20.5,20.5,21.5,21.5,20,20,19,19,19,19,15.5,15.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21,21,19.5,19.5,20,20,20.5,20.5,18.5,18.5,20,20,19.5,19.5,20.5,20.5,21,21,20,20,20,20,20,20,20,20,20.5,20.5,20.5,20.5,20,20,19.5,19.5,18.5,18.5,19.5,19.5,19.5,19.5,20,20,19,19
"LG.11",21,21,21.75,21.75,21.25,21.25,21.5,21.5,21.75,21.75,21,21,20.75,20.75,21.75,21.75,20,20,NA,NA,20.25,20.25,21,21,20.75,20.75,21.25,21.25,20.5,20.5,20.75,20.75,20.5,20.5,21,21,21.25,21.25,22,22,21.5,21.5,21,21,21.75,21.75,22.25,22.25,21.25,21.25,20.5,20.5,21.25,21.25,21.5,21.5,21.5,21.5,20.75,20.75,22.25,22.25,22,22,20.75,20.75,20.75,20.75,20.5,20.5,21,21,20.75,20.75,21.5,21.5,20,20,21,21,20.75,20.75,21,21,21,21,20.75,20.75,21.75,21.75,20.65,20.65,21.25,21.25,21,21,19.5,19.5,21,21,20.5,20.5,21,21,21,21,21.5,21.5,21,21,22,22,20.5,20.5,21,21,21,21,21.25,21.25,21.5,21.5,19.75,19.75,21,21,21.5,21.5,21,21,21.75,21.75,21,21,21.75,21.75,20.75,20.75,20.5,20.5,21,21,21.25,21.25,21.25,21.25,21.5,21.5,22,22,20.75,20.75,20.75,20.75,22,22,23,23,21.5,21.5,21.75,21.75,20.5,20.5,21.25,21.25,20.75,20.75,21.25,21.25,20,20,20.5,20.5,20.75,20.75,21,21,20.5,20.5,21,21,20.25,20.25,21.5,21.5,21,21,21,21,22.25,22.25,20.5,20.5,20.75,20.75,21.25,21.25
"LG.13",21,21,21.75,21.75,21.25,21.25,21.5,21.5,21.75,21.75,21,21,20.75,20.75,21.75,21.75,20,20,NA,NA,20.25,20.25,21,21,20.75,20.75,21.25,21.25,20.5,20.5,20.75,20.75,20.5,20.5,21,21,21.25,21.25,22,22,21.5,21.5,21,21,21.75,21.75,22.25,22.25,21.25,21.25,20.5,20.5,21.25,21.25,21.5,21.5,21.5,21.5,20.75,20.75,22.25,22.25,22,22,20.75,20.75,20.75,20.75,20.5,20.5,21,21,20.75,20.75,21.5,21.5,20,20,21,21,20.75,20.75,21,21,21,21,20.75,20.75,21.75,21.75,20.65,20.65,21.25,21.25,21,21,19.5,19.5,21,21,20.5,20.5,21,21,21,21,21.5,21.5,21,21,22,22,20.5,20.5,21,21,21,21,21.25,21.25,21.5,21.5,19.75,19.75,21,21,21.5,21.5,21,21,21.75,21.75,21,21,21.75,21.75,20.75,20.75,20.5,20.5,21,21,21.25,21.25,21.25,21.25,21.5,21.5,22,22,20.75,20.75,20.75,20.75,22,22,23,23,21.5,21.5,21.75,21.75,20.5,20.5,21.25,21.25,20.75,20.75,21.25,21.25,20,20,20.5,20.5,20.75,20.75,21,21,20.5,20.5,21,21,20.25,20.25,21.5,21.5,21,21,21,21,22.25,22.25,20.5,20.5,20.75,20.75,21.25,21.25
"LG.14",22,22,22,22,22.5,22.5,22.5,22.5,22,22,21.5,21.5,22,22,22.5,22.5,21,21,NA,NA,21,21,22,22,21.5,21.5,22,22,22.5,22.5,22.5,22.5,21.5,21.5,22,22,22.5,22.5,21.5,21.5,22.5,22.5,21.5,21.5,22.5,22.5,23.5,23.5,22.5,22.5,21.5,21.5,22,22,22,22,22.5,22.5,21.5,21.5,23.5,23.5,23,23,22,22,22.5,22.5,21.5,21.5,22,22,21.5,21.5,22,22,21,21,21.5,21.5,21.5,21.5,22,22,21.5,21.5,22,22,22.5,22.5,NA,NA,NA,NA,21.5,21.5,20.5,20.5,21.5,21.5,22,22,22,22,21.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,21.5,21.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,23,23,21.5,21.5,23.5,23.5,22.5,22.5,23,23,22,22,21.5,21.5,21.5,21.5,21,21,23.5,23.5,20.5,20.5,23.5,23.5,22,22,23,23,23,23,23,23,22,22,22.5,22.5,24,24,23.5,23.5,23.5,23.5,23.5,23.5,23,23,23,23,21.5,21.5,19,19,21.5,21.5,21.5,21.5,22,22,22.5,22.5,22.5,22.5,21.5,21.5,23,23,17.5,17.5,21,21,22,22
